Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Julio Jones,9100,Atl@Ten 01:00PM ET,25.3,Atl
WR,Odell Beckham Jr.,8700,Dal@NYG 04:25PM ET,19.533,NYG
WR,DeAndre Hopkins,8600,Hou@Mia 01:00PM ET,28.1,Hou
QB,Tom Brady,8500,NYJ@NE 01:00PM ET,27.472,NE
RB,Le'Veon Bell,8400,Pit@KC 01:00PM ET,22.925,Pit
WR,Julian Edelman,8200,NYJ@NE 01:00PM ET,22.84,NE
TE,Rob Gronkowski,8100,NYJ@NE 01:00PM ET,20.3,NE
WR,Dez Bryant,8100,Dal@NYG 04:25PM ET,9.8,Dal
WR,Antonio Brown,7900,Pit@KC 01:00PM ET,19.617,Pit
RB,Devonta Freeman,7900,Atl@Ten 01:00PM ET,30.183,Atl
WR,Brandon Marshall,7800,NYJ@NE 01:00PM ET,24.42,NYJ
WR,Calvin Johnson,7700,Min@Det 01:00PM ET,16.8,Det
WR,Keenan Allen,7700,Oak@SD 04:05PM ET,23.183,SD
RB,Adrian Peterson,7600,Min@Det 01:00PM ET,17.02,Min
QB,Andrew Luck,7600,NO@Ind 01:00PM ET,20.4,Ind
RB,Arian Foster,7500,Hou@Mia 01:00PM ET,16.167,Hou
WR,Larry Fitzgerald,7400,Bal@Ari 08:30PM ET,23.717,Ari
QB,Matt Ryan,7200,Atl@Ten 01:00PM ET,17.707,Atl
QB,Drew Brees,7000,NO@Ind 01:00PM ET,19.988,NO
RB,Marshawn Lynch,6900,Sea@SF 08:25PM ET,10.575,Sea
QB,Eli Manning,6800,Dal@NYG 04:25PM ET,18.573,NYG
QB,Ben Roethlisberger,6800,Pit@KC 01:00PM ET,20.793,Pit
QB,Carson Palmer,6700,Bal@Ari 08:30PM ET,22.247,Ari
QB,Cam Newton,6600,Phi@Car 08:30PM ET,22.724,Car
QB,Philip Rivers,6500,Oak@SD 04:05PM ET,22.973,SD
QB,Russell Wilson,6500,Sea@SF 08:25PM ET,17.57,Sea
WR,T.Y. Hilton,6500,NO@Ind 01:00PM ET,14.1,Ind
RB,Dion Lewis,6500,NYJ@NE 01:00PM ET,17.74,NE
